price,vendor_price,vendor_cost,sku,vendor_sku,qty,stock_qty,name,udropship_vendor,weight,categoryname,image,small_image,thumbnail,manufacturer,status,tax_class_id,visibility,short_description,description,custom_stock_status,hide_default_stock_status
16333,16333,16333,41804,41804,20,20,"CARTRIDGE HP CN049AL (950) NEGRO 1200PAG. P/8100/8",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41804_medium.jpg,+https://www.prisa.cl/catalog/images/large/41804_medium.jpg,+https://www.prisa.cl/catalog/images/large/41804_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN049AL (950) NEGRO 1200PAG. P/8100/8","CARTRIDGE HP CN049AL (950) NEGRO 1200PAG. P/8100/8",Despacho en 24 hrs.,1
12113,12113,12113,41805,41805,20,20,"CARTRIDGE HP CN050AL (951) CYAN 700PAG. P/8100",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41805_medium.jpg,+https://www.prisa.cl/catalog/images/large/41805_medium.jpg,+https://www.prisa.cl/catalog/images/large/41805_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN050AL (951) CYAN 700PAG. P/8100","CARTRIDGE HP CN050AL (951) CYAN 700PAG. P/8100",Despacho en 24 hrs.,1
12078,12078,12078,41806,41806,20,20,"CARTRIDGE HP CN051AL (951) MAGENTA 700PAG. P/8100",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41806_medium.jpg,+https://www.prisa.cl/catalog/images/large/41806_medium.jpg,+https://www.prisa.cl/catalog/images/large/41806_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN051AL (951) MAGENTA 700PAG. P/8100","CARTRIDGE HP CN051AL (951) MAGENTA 700PAG. P/8100",Despacho en 24 hrs.,1
12136,12136,12136,41807,41807,20,20,"CARTRIDGE HP CN052AL (951) YELLOW 700PAG. P/8100",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/41807_medium.jpg,+https://www.prisa.cl/catalog/images/large/41807_medium.jpg,+https://www.prisa.cl/catalog/images/large/41807_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN052AL (951) YELLOW 700PAG. P/8100","CARTRIDGE HP CN052AL (951) YELLOW 700PAG. P/8100",Despacho en 24 hrs.,1
23375,23375,23375,CN053A,CN053A,20,20,"CARTRIDGE HP CN053AL (932XL) BLACK 1000 PAG.",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/CN053A_medium.jpg,+https://www.prisa.cl/catalog/images/large/CN053A_medium.jpg,+https://www.prisa.cl/catalog/images/large/CN053A_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN053AL (932XL) BLACK 1000 PAG.","CARTRIDGE HP CN053AL (932XL) BLACK 1000 PAG.",Despacho en 24 hrs.,1
11725,11725,11725,CN055A,CN055A,20,20,"CARTRIDGE HP CN055AL (933XL) MAGENTA 825 PAG.",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/CN055A_medium.jpg,+https://www.prisa.cl/catalog/images/large/CN055A_medium.jpg,+https://www.prisa.cl/catalog/images/large/CN055A_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN055AL (933XL) MAGENTA 825 PAG.","CARTRIDGE HP CN055AL (933XL) MAGENTA 825 PAG.",Despacho en 24 hrs.,1
11675,11675,11675,CN056A,CN056A,20,20,"CARTRIDGE HP CN056A (933XL) YELLOW 825 PAG.",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/CN056A_medium.jpg,+https://www.prisa.cl/catalog/images/large/CN056A_medium.jpg,+https://www.prisa.cl/catalog/images/large/CN056A_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN056A (933XL) YELLOW 825 PAG.","CARTRIDGE HP CN056A (933XL) YELLOW 825 PAG.",Despacho en 24 hrs.,1
59625,59625,59625,CN621AM,CN621AM,20,20,"CARTRIDGE HP CN621AM (970) NEGRO P/X451/X476 3000P",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/CN621AM_medium.jpg,+https://www.prisa.cl/catalog/images/large/CN621AM_medium.jpg,+https://www.prisa.cl/catalog/images/large/CN621AM_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN621AM (970) NEGRO P/X451/X476 3000P","CARTRIDGE HP CN621AM (970) NEGRO P/X451/X476 3000P",Despacho en 24 hrs.,1
58225,58225,58225,CN622AM,CN622AM,20,20,"CARTRIDGE HP CN622AM (971) CYAN P/X451/X476 2500P",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/CN622AM_medium.jpg,+https://www.prisa.cl/catalog/images/large/CN622AM_medium.jpg,+https://www.prisa.cl/catalog/images/large/CN622AM_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN622AM (971) CYAN P/X451/X476 2500P","CARTRIDGE HP CN622AM (971) CYAN P/X451/X476 2500P",Despacho en 24 hrs.,1
54063,54063,54063,CN623AM,CN623AM,20,20,"CARTRIDGE HP CN623AM (971) MAGE. P/X451/X476 2500P",6,1,Cartridge,+https://www.prisa.cl/catalog/images/large/CN623AM_medium.jpg,+https://www.prisa.cl/catalog/images/large/CN623AM_medium.jpg,+https://www.prisa.cl/catalog/images/large/CN623AM_medium.jpg,HP,1,IVA,4,"CARTRIDGE HP CN623AM (971) MAGE. P/X451/X476 2500P","CARTRIDGE HP CN623AM (971) MAGE. P/X451/X476 2500P",Despacho en 24 hrs.,1
