12241,Cartridge,26426,CARTRIDGE BROTHER LC-79M J6710DW/J5910DW XXL,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/26426_large.jpg,,,26426
12241,Cartridge,26425,CARTRIDGE BROTHER LC-79Y J6710DW/J5910DW XXL,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/26425_large.jpg,,,26425
5768,Cartridge,24621,CARTRIDGE BROTHER LC980C CYAN DCP-165/MFC290C,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/24621_large.jpg,,,24621
5768,Cartridge,24624,CARTRIDGE BROTHER LC980M MAGENTA DCP-165/MFC290C,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/24624_large.jpg,,,24624
11615,Cartridge,24620,CARTRIDGE BROTHER LC980N NEGRO DCP-165/MFC290C,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/24620_large.jpg,,,24620
5768,Cartridge,24625,CARTRIDGE BROTHER LC980Y YELLOW DCP-165/MFC290C,INSUMOS COMPUTACION,BROTHER,https://www.prisa.cl/catalog/images/large/24625_large.jpg,,,24625
11893,Cartridge,24954,CARTRIDGE CANON CL-141 COLOR MG-2110 MG-3110,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/24954_large.jpg,,,24954
21679,Cartridge,27918,CARTRIDGE CANON CL-141XL COLOR MG-2110 MG-3110,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/27918_large.jpg,,,27918
10649,Cartridge,28933,CARTRIDGE CANON CL-146 CL MG2410/MG2510/IP2810,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/28933_large.jpg,,,28933
13360,Cartridge,27211,CARTRIDGE CANON CL-211 CL MP250/490/230/MX320/340,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/27211_large.jpg,,,27211
18004,Cartridge,27311,CARTRIDGE CANON CL-211XL COLOR MP250/490/MX320/340,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/27311_large.jpg,,,27311
13901,Cartridge,25573,CARTRIDGE CANON CL-31 COLOR IP1800/2500 MP140/190,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/25573_large.jpg,,,25573
14305,Cartridge,22416,CARTRIDGE CANON CL-41 CL IP1200/1300/1600/1700/,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/22416_large.jpg,,,22416
19597,Cartridge,22583,CARTRIDGE CANON CL-51 COLOR PIXMA MP150/170/450,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/22583_large.jpg,,,22583
6750,Cartridge,29245,CARTRIDGE CANON CL-54 CL PIXMA E-481,INSUMOS COMPUTACION,CANON,,,,29245
7794,Cartridge,40568,CARTRIDGE CANON CLI-126 C IP4810/MG6110/5210/X6540,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/40568_large.jpg,,,40568
8487,Cartridge,28441,CARTRIDGE CANON CLI-126 GRAY (GY) MG-6110,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/28441_large.jpg,,,28441
7794,Cartridge,40569,CARTRIDGE CANON CLI-126 M IP4810/MG6110/5210/X6540,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/40569_large.jpg,,,40569
7794,Cartridge,40571,CARTRIDGE CANON CLI-126 N IP4810/MG6110/5210/X6540,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/40571_large.jpg,,,40571
7794,Cartridge,40570,CARTRIDGE CANON CLI-126 Y IP4810/MG6110/5210/X6540,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/40570_large.jpg,,,40570
7187,Cartridge,27274,CARTRIDGE CANON CLI-151 BLACK IP-7210/MG-6310/5410,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/27274_large.jpg,,,27274
7187,Cartridge,27275,CARTRIDGE CANON CLI-151 CYAN IP-7210,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/27275_large.jpg,,,27275
7187,Cartridge,27276,CARTRIDGE CANON CLI-151 MAGENTA IP-7210,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/27276_large.jpg,,,27276
7187,Cartridge,27277,CARTRIDGE CANON CLI-151 YELLOW IP-7210,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/27277_large.jpg,,,27277
7456,Cartridge,40759,CARTRIDGE CANON CLI-221 BLACK 210PAG IP-4700/3600,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/40759_large.jpg,,,40759
7436,Cartridge,40608,CARTRIDGE CANON CLI-221 CYAN IP-4700,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/40608_large.jpg,,,40608
7436,Cartridge,40609,CARTRIDGE CANON CLI-221 MAGENTA IP-4700,INSUMOS COMPUTACION,CANON,https://www.prisa.cl/catalog/images/large/40609_large.jpg,,,40609
